"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3"
"1",1.02375729456875,"8","couple","6","9",-0.581929892523862,0.211218154311262,0.568052812845324
"1",-0.410562259031756,"6","couple","4","9",0.0411360338830201,0.0978306235529825,0.442412318820263
"1",0.182168594070539,"7","female","51","9",0.430509006806821,0.551292460358922,-0.221474805994536
"1",0.650762640874474,"4","couple","42","9",-0.686047552776905,-1.48100254031082,1.2849512062142
"1",-1.09138425137815,"7","male","26","4",0.201033382186225,-0.118581966802314,0.522952839524318
"1",0.331089728795678,"7","female","27","8",-0.439618702132338,-1.54997096223525,1.25094409580241
"1",0.331089728795678,"7","female","27","8",-0.0889414320079626,-1.13949356365243,1.06834513207242
"1",-1.26763678610712,"5","male","49","1",-1.09698888457997,-0.282510079708914,0.964028728760393
"1",-0.441421286996289,"6","female","0","9",0.838978966491816,0.548058932860592,-0.595156873048222
"1",0.613349170840806,"5","female","0","4",0.22374621128429,0.206482843893549,0.270219566205055
"1",0.0794213542819901,"4","male","6","9",-0.0839553227430624,0.144578881942876,0.457954959982732
"1",1.18816425587104,"7","couple","12","5",-0.123251529204442,0.409922533439582,0.247574219748449
"1",1.14457908547162,"4","female","0","3",-0.217397208010165,0.550057304650736,0.144673203661707
"1",-0.671052138184139,"4","male","36","6",1.4803083959051,0.371287570010917,-1.33669717787703
"1",0.456699304018673,"7","couple","4","9",0.456845180491716,0.597194794809718,-0.303688029349573
"1",0.456699304018673,"7","couple","4","9",-0.323210276384006,0.3879408148215,0.344846505697524
"1",-1.17767402316879,"8","female","39","9",0.116481765481214,0.510271635458814,0.0288037391782708
"1",1.08503132027381,"8","female","41","7",0.80313512110558,0.81516420113109,-1.07574558060256
"1",0.723659722413116,"5","couple","53","9",0.800820590118305,-0.753957426755222,0.549553377853733
"1",0.723659722413116,"5","couple","53","9",-0.256611231773944,0.428356925583333,0.283201727874152
"1",-0.913103436429292,"7","male","36","9",-0.74384614763096,1.52401968681301,-1.66824860891704
"1",0.272774144264435,"7","male","36","9",-0.722321559364217,0.127574901390114,0.661650351412951
"1",0.287504558396253,"8","couple","22","9",-0.454044023471571,0.469894550344999,0.313019322811852
"1",0.895608612885931,"8","couple","21","9",0.656243500986805,-0.514866883301118,0.520258869003036
"1",1.00815718041494,"8","couple","12","9",0.601631180959426,-0.0644885996060707,0.271054190120027
"1",-0.262683383522862,"7","female","36","8",-0.471318487032702,0.905630918030877,-0.203685768259947
"1",-0.262683383522862,"7","female","36","8",-0.778837124832214,1.10941203154832,-0.425377085038257
"1",-0.395300056456257,"6","couple","26","9",0.117279315448515,0.442925122911744,0.1013582456563
"1",-1.56306640081115,"5","female","48","6",0.586585411867634,-0.96791775648052,0.754031276603122
"1",-0.795954636674118,"8","male","0","9",0.136725525491719,0.343848158823922,0.190356449155328
"1",0.650762640874474,"6","female","42","3",0.172548215180921,0.111728947383912,0.372926502248331
"1",-0.682634665101818,"5","female","15","9",-0.663235469951722,1.43603520071554,-1.34245921935837
"1",0.971302844328094,"4","female","1","6",0.576978369088875,0.269473334321164,-0.00401135305460707
"1",0.723659722413116,"8","couple","53","9",0.180336377075092,0.429196796135589,0.0818129379274335
"1",-0.0716290235077409,"5","female","6","5",-0.626648243065956,0.104288416702652,0.655178538476522
"1",0.287504558396253,"4","couple","0","6",-0.501620457366627,-0.0990931968206168,0.752041344587035
"1",-1.99733508021048,"4","male","55","6",0.636496440472699,0.541529839444394,-0.378255210657869
