"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2"
"1",-0.583049055730884,"7","male","32","5",0.453592323495181,-0.543554086535378
"1",0.76252958598354,"7","male","6","6",-1.95479464126233,2.04884503310286
"1",-0.811357305477515,"7","couple","17","6",0.567182308302972,-0.971390542331989
"1",-1.24635524735657,"8","male","6","9",0.582630149171198,-1.04257507138155
"1",0.654085934176306,"4","male","26","7",-0.851876187750022,1.40999105890366
"1",0.995826090567767,"6","female","12","5",0.641419713021579,-1.36233688432269
"1",0.995826090567767,"6","female","12","5",-0.191791359899085,0.738536099417457
"1",0.964033195291461,"6","couple","51","9",0.621448481826724,-1.24315450949058
"1",0.377067594158048,"8","female","39","9",0.440741209903329,-0.502818902097837
"1",0.377067594158048,"8","female","39","9",0.394530875287136,-0.365544172707156
"1",1.23429693629086,"5","couple","51","8",0.671134104600463,-1.56996303821307
"1",-1.43695158727235,"7","female","8","9",-0.0885184662055512,0.595616088064843
"1",1.59613647348426,"7","female","33","5",0.700750399747196,-1.83787819695132
"1",-0.0083943976674445,"5","female","12","3",0.560036202284977,-0.939817444114849
"1",0.995826090567767,"7","couple","34","9",0.444593090785115,-0.514901725128068
"1",-0.0771545293589223,"8","female","0","9",0.215816141445661,0.0672097770613097
"1",-0.0771545293589223,"8","female","0","9",0.361162688220631,-0.274175335319653
"1",-1.45699143110087,"8","male","51","9",0.433521237016531,-0.48045331803859
"1",-0.989254945111913,"8","male","17","9",0.478968360127778,-0.627765887249195
"1",-1.75373322957942,"7","female","0","6",0.433188795554417,-0.479432204589093
"1",0.0084518085529546,"4","couple","39","8",0.528521041839284,-0.809383809573038
"1",0.915429038757105,"8","couple","42","9",-0.002369087852312,0.464448102377308
"1",0.915429038757105,"8","couple","42","9",-0.384263296410695,0.971443678793468
"1",-1.29552461915818,"8","female","6","9",0.279341921805949,-0.0721857643379273
"1",-0.667967606885483,"7","couple","13","9",0.402267580365384,-0.387603866703745
"1",-0.848777533579857,"7","male","16","9",0.545137978486485,-0.876471528121498
