"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3","topic_4"
"1",1.60471197141335,"5","female","12","3",0.791019873203238,-0.0780583444350857,-0.835893496151518,-0.0873638599395629
"1",1.60471197141335,"5","female","12","4",0.503397207398347,0.0496545744206328,0.44655850735129,-1.49331700698234
"1",-1.03859856364853,"5","male","0","5",0.566212165266559,-1.05576644212743,0.775525721075796,-0.208037676288117
"1",-1.03859856364853,"5","male","0","5",0.653961236461115,-1.02509547309951,0.48889275432497,0.0250376864070587
"1",0.247413111741404,"7","female","6","9",0.267786673643083,-0.229300999126858,0.596374449999657,0.429791429213118
"1",1.60471197141335,"5","female","0","8",-1.17471262442465,2.08355299115021,-0.789931856311517,-1.46058142802201
"1",1.60471197141335,"5","female","0","8",0.397161162687521,-0.368411475045602,0.689591296652719,-0.0280774511261731
"1",-0.461837174126817,"4","male","48","6",-1.63286559671272,-2.42641626158757,2.27071447048374,0.972853230166498
"1",-1.03170779872476,"3","male","6","6",-0.217232349451299,1.31544825911373,-0.141913889116613,-0.60904999973705
"1",-0.637260293467916,"7","male","55","8",0.0262219272624011,0.908402006983303,-1.75913064399476,0.86950618345332
"1",1.12437385863057,"5","couple","12","6",0.85318775414295,-0.289854905608681,-0.261597845872949,-1.00087922773476
"1",-0.379271490734576,"7","couple","42","6",0.0573950937425911,0.768148410556349,-0.0303280661029999,0.229925247624664
"1",-0.816004109840867,"6","female","0","8",-0.147543625044719,0.886083855937852,0.123698010420058,0.343473095446164
"1",-0.113199791884339,"5","male","12","9",0.235395902593485,0.633795415783658,-0.175217242687976,0.134476939007312
"1",-1.22607855307407,"8","female","48","8",-0.596391102663619,1.47977559526823,0.0655992504172644,-0.277306669347154
"1",0.594402833234885,"7","female","8","6",NA,NA,NA,NA
"1",0.269908550418823,"6","couple","12","6",0.210917503487037,0.270618110973683,0.549445846121747,-0.123866985382998
"1",1.16881727077184,"4","couple","0","6",0.479063891270965,0.287338426776548,0.0486223786961359,-0.437144193240419
"1",1.16881727077184,"4","couple","0","6",0.54670351985192,0.20269537290824,-0.051867528753667,-0.386967489005016
"1",-1.70043691756053,"7","male","26","3",-0.179439193093823,-0.0394795444561165,1.29495805951432,-0.043578060359125
"1",0.657487554974611,"5","female","0","5",-0.538052644285273,-1.85934053394714,2.15690938345274,-0.949547400576287
"1",0.936681512267875,"5","couple","26","6",-0.264410949802392,0.205639584967749,1.25567801086853,-0.127080855417694
"1",-1.33432443637349,"8","male","9","9",-0.0662814335995481,0.251498652554696,0.831445249196277,0.279920294749832
"1",0.357582795278565,"7","couple","0","9",0.36850747314263,0.492565645862737,-0.123331154296135,-0.117222710246496
